t,x,y,theta
90.71382240000094,-0.2325850593071428,0.9829556137667081,-2.3462558357513084
90.76678140000149,-0.23779911389887604,0.9798560667961949,-2.314630269723492
90.81461459999991,-0.24447130812794193,0.9748174280275986,-2.2821779417656
90.86375350000162,-0.2528713821302927,0.967222199385013,-2.248465884688791
90.91285889999563,-0.26330491278143997,0.956208136810338,-2.2138553330939117
90.96438589999889,-0.2760321058002946,0.9409920747429756,-2.180991274802969
91.01663240000198,-0.2907619910130654,0.9209879763551319,-2.1537929973962253
91.0631527000005,-0.3073175319836685,0.8962627797760898,-2.1351861616808088
91.11379769999621,-0.32564254755110167,0.8671072182420574,-2.1250132272198567
91.16673289999744,-0.3453396415477753,0.8349317030661221,-2.1180323539644648
91.21369620000041,-0.3654928691631496,0.8019513816373298,-2.1071868305547747
91.26268049999635,-0.38560071349517994,0.7688999766470862,-2.093231634146468
91.31762979999621,-0.4053495062317907,0.7356517688141959,-2.078244929810528
91.3623518999957,-0.4246060351324945,0.7020096921075223,-2.0638100272720106
91.41344650000246,-0.4432428692129068,0.6680781361267148,-2.0508230497621414
91.46144300000014,-0.4613538902197455,0.6338459794667453,-2.0388877429042354
91.51869859999715,-0.47905463645037577,0.5993537358083756,-2.0271299532851623
91.5629850999976,-0.4964576980722595,0.5645804740521039,-2.0157768367068307
91.6169160999998,-0.5135146547345708,0.5295865885412202,-2.0039690457595793
91.6641021999967,-0.5300702204204476,0.4946103625658421,-1.9910621535143103
91.71182579999731,-0.5461982896335971,0.45939587954573025,-1.977673376089812
91.76278710000042,-0.561847198021877,0.42403455876346846,-1.9636206426352671
91.81478029999562,-0.5770173177988781,0.3884332927805098,-1.948568807434343
91.86370069999975,-0.5916748610661805,0.35266502363381336,-1.9320267413146623
91.91489790000196,-0.6057941945745193,0.3167038710669956,-1.9133014229046241
91.9610354999968,-0.6193324850237005,0.28058540749368566,-1.8910560308791045
92.01475909999863,-0.632284692167772,0.24431504744919055,-1.8633158416616842
92.06266270000197,-0.6435534486914778,0.21007273458284442,-1.8334249740410202
92.1133531000014,-0.6527290952899893,0.17977720926083762,-1.802938903651863
92.16295900000114,-0.6600236169552313,0.15344797200773078,-1.7728616245175406
92.21431270000176,-0.6656801234856643,0.13114221733639833,-1.7438009406307382
92.26614829999744,-0.6699811056390504,0.11290989387569636,-1.7160506426965247
92.31376959999761,-0.6731665064131118,0.09879709658384872,-1.6896971855822367
92.36277320000227,-0.6754747307080453,0.0886935803198173,-1.6655271994683634
92.41531559999567,-0.6773515692985475,0.08021857961809067,-1.636315205467967
92.46798729999864,-0.6794859835925635,0.0713105275558454,-1.5961995140404512
92.5140356999982,-0.6817457461199194,0.06305627390327691,-1.5472704310850776
92.56370500000048,-0.683992127328364,0.05631068810689417,-1.4899220578540113
92.61619100000098,-0.6863560972210021,0.051124380455733344,-1.423151738589445
92.66483180000068,-0.6890862869171556,0.047566032703236026,-1.3462806403737761
92.71283840000251,-0.6926959413357634,0.04556079134481693,-1.25883482747443
92.76522210000257,-0.6967282600427759,0.044226739260085836,-1.1653737817828342
92.81264740000188,-0.7008281366818386,0.04290749948732215,-1.071585615521777
92.86544380000123,-0.704675630447846,0.04120712152324746,-0.9785041254087129
92.9145503999971,-0.7080225560335153,0.038859263215398614,-0.884794868666239
92.96549589999631,-0.7111757758019854,0.03607731164242355,-0.7907173770539796
93.01430640000035,-0.7140347954129576,0.03291585203826531,-0.696512464927078
93.06220020000183,-0.7165786809518824,0.02955906167151221,-0.60234283592875
93.11437289999594,-0.7188082222331982,0.025994967358297465,-0.5082066259052539
93.16166969999904,-0.7207146378363857,0.02224581167579206,-0.414096480419337
93.21417159999692,-0.7222636715118027,0.01834562860905697,-0.31997690792945155
93.26603330000216,-0.7234260545753746,0.014312416272154349,-0.22587560357626082
93.31586170000082,-0.7242059115253923,0.010193906942252761,-0.1317954597508217
93.36480250000022,-0.7246028318660084,0.006162136144369052,-0.04181720866957192
93.41537689999677,-0.7246299303008353,0.0024367670002300016,0.04201731751438739
93.46695739999996,-0.7243425232442122,-0.0010339039655991324,0.1198806694428927
93.51428080000187,-0.7238200068845633,-0.004159045199856928,0.19194682130570578
93.56425319999835,-0.7231097286263235,-0.0071401428284181305,0.25935899722600236
93.61349350000091,-0.7223675284927018,-0.009814442603478852,0.3218099058109627
93.6637208999964,-0.7214760169247845,-0.012280356674062392,0.3800762008147349
93.71845670000039,-0.7205119731264717,-0.014539095216421988,0.43424747752131254
93.76793799999723,-0.7194774289381642,-0.01661292153628031,0.48490127078991185
93.81488710000122,-0.7184253802648313,-0.018503331931909,0.5321727251467478
93.86357319999661,-0.7173991229172572,-0.02022954499656429,0.5765010102468988
93.91549469999882,-0.7163937667961336,-0.02177577499108215,0.6180927022076524
93.966459700001,-0.7153918711839925,-0.02315005301944953,0.6568860527044893
94.01422779999848,-0.714395641634521,-0.024407849710939872,0.6931473377618115
94.0637515999988,-0.7134044568060288,-0.02556941264784036,0.726996719286603
94.11500890000025,-0.7124502243657366,-0.026630540083687156,0.758657256357723
94.16362500000105,-0.7103721518906665,-0.026505966686856987,0.7895185950989005
94.21232289999898,-0.7067978224534877,-0.02479923145895899,0.819655506859815
94.26280219999899,-0.7017856711326658,-0.021488018155999412,0.8496916627337725
94.31372209999972,-0.6952045906392306,-0.016184778907774925,0.8805006392594107
94.36659259999578,-0.6868497770477167,-0.00843044399855367,0.9126550636699955
94.41713069999969,-0.6764885634013198,0.0027766402606802937,0.9453814275412722
94.4637567000027,-0.6640364378566319,0.01833781733567633,0.9759229733751251
94.5147805000015,-0.6495114050299851,0.03879820086685759,0.9996469942509332
94.56452339999669,-0.6330485513927402,0.06392719093014024,1.0150503209621629
94.61350410000159,-0.616927013619606,0.08934497086850322,1.0244662615828906
94.66353759999765,-0.6033851305551294,0.11128976935414929,1.0315587520104441
94.71183629999723,-0.5922381205736256,0.12961228748127518,1.0370792614036342
94.76333259999956,-0.5834798172756047,0.14418243201931397,1.0414289902466298
94.81732819999888,-0.5770467016565807,0.1549897598490663,1.0445867474332917
94.86378139999579,-0.5728827392348891,0.1620404418164449,1.0466201085914693
94.91425159999926,-0.5709391147892365,0.165348293469418,1.0476940945024347
