epoch,mse,rmse,mae,mape,dtw_cru,dtw_norm,frechet_xy,edr_x,edr_y,pearson_x,pearson_y,lag_x_ms,lag_y_ms
52,0.1650858724163697,0.4063076081202144,0.18214746937520312,135.9650988625556,21.620662948713044,0.07353966989358178,0.23802294324737297,108.0,108.0,0.0,0.0,2750.0,2550.0
53,0.08924160422226086,0.2987333329614572,0.09815282253417658,95.60526057693363,4.929697794944583,0.018887731015113346,0.04328501008413245,51.0,48.0,0.6643153385252311,0.6554184635885199,1600.0,1550.0
54,0.04848554015251877,0.2201943236155709,0.08794424027919495,97.07556932155342,1.9831338152134268,0.0071852674464254595,0.017965111039126527,74.0,80.0,0.0,0.0,2300.0,2250.0
55,0.035933537674436224,0.18956143509278522,0.06520997866855442,98.49986815273826,1.3413598788476493,0.005199069297859106,0.006510509041191043,57.0,48.0,0.7522561352917682,0.7745820378518046,1200.0,1200.0
56,0.09409670383895696,0.30675186036755664,0.09632231368932657,194.46191233510476,1.5165024088004389,0.00557537650294279,0.009465784291786827,73.0,43.0,0.0,0.0,2250.0,2150.0
57,0.19817937400393842,0.4451734201453838,0.21698799514891243,183.98451199809676,12.122477263334517,0.04376345582431233,0.10191450517835757,102.0,174.0,0.5121468101057152,0.4880476928389235,2050.0,2150.0
58,0.03500496193537155,0.187096130198814,0.06168414181259133,101.02648464425205,8.118373903865455,0.03673472354690251,0.14068055643041552,29.0,48.0,0.0,0.0,50.0,0.0
59,0.24779543785231664,0.4977905562104575,0.2558329635981308,195.6053694666753,13.816601793037414,0.05233561285241445,0.14354506035119827,163.0,74.0,0.7609832412478431,0.7398530482582341,1150.0,1300.0
60,0.048455975902706776,0.22012718119920305,0.09470404957578894,106.60142408976856,28.499439986843,0.12554819377463877,0.2200908430510959,218.0,172.0,0.9463089096111474,-0.8590088379042976,150.0,8700.0
61,0.22161130535451382,0.47075609964663634,0.25969830650275133,150.4156769764266,29.624437441508448,0.11012802022865593,0.14483051380754433,184.0,199.0,0.4834605020348993,0.602752010286761,1800.0,1650.0
62,0.29179123753845326,0.5401770427725092,0.275415639710862,97.9736383728317,30.701909361588203,0.09840355564611604,0.23301494133644068,154.0,199.0,0.0,0.0,3350.0,3000.0
63,0.04360829041981827,0.20882598118964574,0.10313094138812205,77.33407376554031,28.27561681512087,0.10629931133504086,0.14353509161004852,181.0,89.0,0.0,0.0,2350.0,2100.0
64,0.08269023526800799,0.28755909873973384,0.12109199687889538,31.444226000914494,11.401096954934955,0.04057329877201052,0.10865523281117898,109.0,98.0,0.5796958083412381,0.6109483328662279,2250.0,1950.0
65,0.10777233705878018,0.32828697363553766,0.11345427416913542,89.07665527407877,2.6468949320069703,0.01042084618900382,0.012830789730672408,55.0,57.0,0.0,0.0,700.0,700.0
66,0.003428033550416853,0.05854941118761873,0.027380653410420872,14.675997759867625,7.076414382944435,0.02785989914545053,0.03681133167594964,38.0,42.0,0.0,0.0,1200.0,1200.0
67,0.2594105622444088,0.5093236321283441,0.26222290890398214,120.94111072799171,18.77543567871751,0.07111907454059663,0.10972493227018335,60.0,190.0,0.7342084396718517,0.4666925007235091,1450.0,1800.0
68,0.1119513793683108,0.33459136176582743,0.1512786243948059,57.17874779380744,25.830743028986387,0.0949659670183323,0.17203603432427889,90.0,199.0,0.46704068253922937,0.1992528778568898,1800.0,2250.0
69,0.21430308901484213,0.4629288163582411,0.23122670176675095,119.03249887155273,28.747884894181116,0.11318064918968944,0.1745625017874465,65.0,205.0,0.0,0.0,1200.0,1300.0
70,0.4361086237032908,0.6603852085739738,0.4065602099265957,226.86535995115923,36.817905366067855,0.12438481542590492,0.22462679819282813,200.0,132.0,0.0,0.0,2600.0,2550.0
71,0.2205969091099282,0.4696774522051577,0.26484023345841373,126.12636247478271,24.68204169535284,0.08092472687000932,0.19946262465309156,196.0,141.0,0.3915576588344457,0.4195522736180409,3050.0,3200.0
